Season,Country,Balls,Mdns,Runs,Wickets,BB,Ave,4wl,5wl,s Rate,Econ
1996-97,Kenya,180,0,123,4,3-48,30.75,0,0,45,4.1
1996-97,Pakistan,295,1,221,6,2-25,36.83,0,0,49.16,4.49
1996-97,India,258,0,266,2,1-40,133,0,0,129,6.18
1996-97,Australlia,401,1,306,11,3-33,27.81,0,0,36.45,4.57
1996-97,United Arab Emirates,465,4,278,5,2-14,55.6,0,0,93,3.58
1997,Canada,150,0,114,1,1-43,114,0,0,150,4.56
1997,Sri Lanka,78,0,61,1,1-25,61,0,0,78,4.69
1997-98,Zimbawe,120,1,108,2,2-45,54,0,0,60,5.4
1997-98,South Africa,70,0,70,0,,,,,,
1997-98,Bangladesh,250,3,189,4,2-25,47.25,0,0,62.5,4.53
1997-98,United Arab Emirates,102,0,83,1,1-57,83,0,0,102,4.88
1997-98,Pakistan,282,0,251,2,1-38,120.5,0,0,141,5.34
1998,Canada,228,2,156,2,1-34,78,0,0,114,4.1
1998-99,United Arab Emirates,186,0,148,5,3-53,29.6,0,0,37.2,4.77
1998-99,India,121,0,101,3,2-28,33.66,0,0,40.33,5
1998-99,Pakistan,162,0,165,4,3-45,41.25,0,0,40.5,6.11
1998-99,Bangladesh,84,0,70,0,,,,,,5
1999,England,132,1,115,1,1-26,115,0,0,132,5.22
1999-00,United Arab Emirates,150,2,85,3,2-6,28.33,0,0,50,3.4
1999-00,West Indies,105,0,103,6,3-16,17.16,0,0,17.5,5.88
1999-00,Australlia,336,0,261,8,3-42,32.62,0,0,42,4.66
2000,Bangladesh,108,2,92,1,1-6,92,0,0,108,5.11
2000,Sri Lanka,18,0,11,0,,,,,,3.66
2000,Singapore,6,0,10,0,,,,,,10
2000-01,Pakistan,101,2,61,6,5-40,10.16,0,1,16.83,3.62
2000-01,New Zealand,30,0,27,0,,,,,,5.4
2000-01,United Arab Emirates,204,0,169,7,3-44,24.14,0,0,29.14,4.97
2001,England,158,3,112,5,3-15,22.4,0,0,31.6,4.25
2001-02,Bangladesh,144,4,77,5,3-11,15.4,0,0,28.8,3.2
2001-02,United Arab Emirates,414,6,316,7,2-21,45.14,0,0,59.14,4.57
2002,Pakistan,90,0,60,1,1-37,60,0,0,90,4
2002,Australlia,153,3,78,6,3-28,13,0,0,25.5,3.05
2002,Kenya,126,1,95,4,2-33,23.75,0,0,31.5,4.52
2002,Morocco,240,1,166,2,1-36,83,0,0,120,4.15
2002-03,Zimbawe,282,2,230,6,3-45,38.33,0,0,47,4.89
2002-03,South Africa,381,0,316,7,3-35,45.14,0,0,54.42,4.97
2002-03,Sri Lanka,103,3,57,3,3-18,19,0,0,34.33,3.32
2003-04,Pakistan,78,0,87,2,2-57,43.5,0,0,39,6.69
2004,England,102,1,74,6,5-11,12.33,0,1,17,4.35
2004,Netherlands,72,0,40,4,4-20,10,1,0,18,3.33
2004-05,Pakistan,267,0,216,8,3-18,27,0,0,33.37,4.85
2004-05,West Indies,156,1,101,6,4-38,26.83,1,0,26,3.88
2004-05,Australlia,462,0,348,10,2-38,34.8,0,0,46.2,4.51
2004-05,India,300,0,274,4,2-10,68.5,0,0,75,5.48
2005-06,Australlia,,0,0,0,,,,,,
2005-06,South Africa,71,1,60,2,1-53-37,30,0,0,35.5,5.07
2005-06,Sri Lanka,120,0,65,5,3-34,13,0,0,24,3.25
2005-06,Pakistan,252,0,222,6,2-14,37,0,0,42,5.28
2006,United Arab Emirates,176,1,130,5,1-39,26,0,0,35,4.43
