5wl,s Rate,Econ
0,45,4.1
0,49.16,4.49
0,129,6.18
0,36.45,4.57
0,93,3.58
0,150,4.56
0,78,4.69
0,60,5.4
,,
0,62.5,4.53
0,102,4.88
0,141,5.34
0,114,4.1
0,37.2,4.77
0,40.33,5
0,40.5,6.11
,,5
0,132,5.22
0,50,3.4
0,17.5,5.88
0,42,4.66
0,108,5.11
,,3.66
,,10
1,16.83,3.62
,,5.4
0,29.14,4.97
0,31.6,4.25
0,28.8,3.2
0,59.14,4.57
0,90,4
0,25.5,3.05
0,31.5,4.52
0,120,4.15
0,47,4.89
0,54.42,4.97
0,34.33,3.32
0,39,6.69
1,17,4.35
0,18,3.33
0,33.37,4.85
0,26,3.88
0,46.2,4.51
0,75,5.48
,,
0,35.5,5.07
0,24,3.25
0,42,5.28
0,35,4.43
